date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2022-12-31,2022Q4,131813,Apartment,other_sale,2006,5750000,0.0,3,99.0,58080.81,"Ben Websters Vej 138, 2. 10",2450,København SV,"Capital, Copenhagen",Zealand,0.65,7.7,3.73
2022-12-31,2022Q4,131758,Villa,family_sale,1968,600000,0.0,4,115.0,5217.391,Klokkedal 15,6100,Haderslev,South jutland,Jutland,0.65,7.7,3.73
2022-12-31,2022Q4,131787,Summerhouse,family_sale,2008,1402500,0.0,4,113.0,12411.505,Nautilusvej 6,7673,Harboøre,South jutland,Jutland,0.65,7.7,3.73
2022-12-31,2022Q4,131767,Villa,other_sale,1961,4900000,0.0,5,172.0,28488.373,Fredensgårdsvej 24,8270,Højbjerg,East & mid jutland,Jutland,0.65,7.7,3.73
2022-12-31,2022Q4,131773,Farm,family_sale,1935,10000000,0.0,10,285.0,35087.72,Sandmosevej 84,9440,Aabybro,North jutland,Jutland,0.65,7.7,3.73
2022-12-30,2022Q4,131834,Summerhouse,regular_sale,1969,2700000,-10.0,3,68.0,39705.883,Odinvej 5,8400,Ebeltoft,East & mid jutland,Jutland,0.65,7.7,3.73
2022-12-30,2022Q4,131816,Villa,family_sale,1982,773500,0.0,3,140.0,5525.0,Lee Byvej 14A,8850,Bjerringbro,East & mid jutland,Jutland,0.65,7.7,3.73
2022-12-30,2022Q4,131820,Villa,regular_sale,1946,6250000,-4.0,5,158.0,39556.96,Funchsvej 2,4600,Køge,Other islands,Zealand,0.65,7.7,3.73
2022-12-30,2022Q4,131821,Apartment,regular_sale,1893,4050000,-3.0,3,70.0,57857.145,"Randersgade 49, 3. th",2100,København A,"Capital, Copenhagen",Zealand,0.65,7.7,3.73
2022-12-29,2022Q4,131967,Summerhouse,regular_sale,1989,2400000,0.0,6,130.0,18461.54,Pøt Strandby 277,7130,Juelsminde,South jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131941,Villa,family_sale,1955,650000,0.0,3,128.0,5078.125,Boelsmindevej 110,9300,Sæby,North jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131974,Townhouse,regular_sale,2006,300000,0.0,3,104.0,2884.6155,Råhedevej 4A,6973,Arnhøj,South jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131925,Apartment,regular_sale,1933,2700000,-4.0,2,73.0,36986.3,"Joh. Baunes Plads 18, 4. th",8000,Aarhus C,East & mid jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,132011,Villa,regular_sale,1968,1650000,-6.0,6,125.0,13200.0,Gartnervænget 11,5792,Ãrslev,Fyn & islands,Fyn & islands,0.65,7.7,3.73
2022-12-29,2022Q4,131965,Summerhouse,family_sale,1924,892500,0.0,4,63.0,14166.667,Fuglsøvej 24,8400,Ebeltoft,East & mid jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131915,Townhouse,regular_sale,1973,1225000,-12.0,3,85.0,14411.765,Humlebivænget 37,5260,Odense S,Fyn & islands,Fyn & islands,0.65,7.7,3.73
2022-12-29,2022Q4,131969,Apartment,regular_sale,1938,4220000,0.0,2,76.0,55526.316,"Skippergade 44, st. th",9900,Frederikshavn,North jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131927,Farm,regular_sale,1855,2200000,0.0,8,198.0,11111.111,Mosevråvej 116,7000,Fredericia,South jutland,Jutland,0.65,7.7,3.73
2022-12-29,2022Q4,131998,Villa,regular_sale,1906,2100000,-4.0,7,200.0,10500.0,Ny Allegade 26,6100,Haderslev,South jutland,Jutland,0.65,7.7,3.73
