date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2000-12-31,2000Q4,1293519,Farm,regular_sale,1928,997630,0.0,3,112.0,8907.411,Lundevej 3,4652,Hårlev,Other islands,Zealand,4.5,2.9,7.33
2000-12-31,2000Q4,1293493,Villa,other_sale,1974,875000,0.0,5,166.0,5271.0845,Baunedalen 14,3540,Lynge,North Zealand,Zealand,4.5,2.9,7.33
2000-12-31,2000Q4,1293527,Apartment,family_sale,1900,1250000,0.0,2,35.0,35714.285,"Henriettevej 9, 2. tv",4300,Holbæk,Other islands,Zealand,4.5,2.9,7.33
2000-12-31,2000Q4,1293500,Villa,regular_sale,1958,940000,0.0,5,123.0,7642.2764,Anemonevej 7,7400,Herning,South jutland,Jutland,4.5,2.9,7.33
2000-12-31,2000Q4,1293510,Villa,other_sale,1967,525000,0.0,6,126.0,4166.6665,Lærerbovej 5,9460,Brovst,North jutland,Jutland,4.5,2.9,7.33
2000-12-31,2000Q4,1293503,Farm,family_sale,1777,400000,0.0,6,229.0,1746.7249,Blæsbjergvej 39,6200,Aabenraa,South jutland,Jutland,4.5,2.9,7.33
2000-12-30,2000Q4,1293555,Apartment,family_sale,1797,415000,0.0,3,64.0,6484.375,Smedegade 1,3730,Nexø,Bornholm,Bornholm,4.5,2.9,7.33
2000-12-29,2000Q4,1293565,Villa,regular_sale,1925,1367500,0.0,6,133.0,10281.955,Søndermarksvej 30,7100,Vejle,South jutland,Jutland,4.5,2.9,7.33
2000-12-28,2000Q4,1293597,Apartment,regular_sale,1904,3875000,0.0,4,120.0,32291.666,"Hersegade 30, 1",4000,Roskilde,Other islands,Zealand,4.5,2.9,7.33
2000-12-28,2000Q4,1293594,Townhouse,regular_sale,1929,2840000,0.0,4,202.0,14059.406,Engelsborgvej 33,2800,Kongens Lyngby,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-28,2000Q4,1293617,Villa,regular_sale,1935,456689,0.0,3,66.0,6919.5303,Villavej 30,6800,Varde,South jutland,Jutland,4.5,2.9,7.33
2000-12-27,2000Q4,1293700,Apartment,regular_sale,1900,2300000,0.0,2,69.0,33333.332,"Nørregade 2D, 1. tv",8723,Løsning,East & mid jutland,Jutland,4.5,2.9,7.33
2000-12-27,2000Q4,1293693,Villa,family_sale,1960,765000,0.0,5,108.0,7083.3335,Lillisvej 21,9000,Aalborg,North jutland,Jutland,4.5,2.9,7.33
2000-12-27,2000Q4,1293694,Townhouse,regular_sale,1970,1850001,0.0,4,139.0,13309.359,Ville Heise Park 19,3450,Allerød,North Zealand,Zealand,4.5,2.9,7.33
2000-12-27,2000Q4,1293646,Apartment,regular_sale,1900,2300000,0.0,2,52.0,44230.77,"Nørregade 2G, st",8723,Løsning,East & mid jutland,Jutland,4.5,2.9,7.33
2000-12-27,2000Q4,1293714,Summerhouse,family_sale,1961,400000,0.0,4,134.0,2985.0747,Harevej 4,8400,Ebeltoft,East & mid jutland,Jutland,4.5,2.9,7.33
2000-12-26,2000Q4,1293763,Villa,other_sale,2006,774000,0.0,8,177.0,4372.8813,Bogfinkevej 6,4040,Jyllinge,Other islands,Zealand,4.5,2.9,7.33
2000-12-26,2000Q4,1293742,Farm,regular_sale,1902,500000,0.0,7,227.0,2202.643,Mejerivejen 9,7620,Lemvig,South jutland,Jutland,4.5,2.9,7.33
2000-12-26,2000Q4,1293732,Summerhouse,regular_sale,1984,600000,0.0,5,84.0,7142.857,Piasvej 2,9480,Løkken,North jutland,Jutland,4.5,2.9,7.33
2000-12-26,2000Q4,1293765,Villa,regular_sale,1935,1150000,0.0,4,102.0,11274.51,Roskildevej 28,4300,Holbæk,Other islands,Zealand,4.5,2.9,7.33
2000-12-26,2000Q4,1293749,Villa,regular_sale,1873,374630,0.0,5,124.0,3021.2097,Dalegårdsvej 7,3720,Aakirkeby,Bornholm,Bornholm,4.5,2.9,7.33
2000-12-26,2000Q4,1293754,Villa,regular_sale,1987,1095000,0.0,4,128.0,8554.6875,Skovhegnet 3,8870,Langå,East & mid jutland,Jutland,4.5,2.9,7.33
2000-12-26,2000Q4,1293725,Villa,regular_sale,1977,3265400,0.0,5,181.0,18040.885,Peder Oxes Vej 8,2960,Rungsted Kyst,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-26,2000Q4,1293721,Townhouse,regular_sale,1958,2350000,0.0,5,127.0,18503.938,Holger Drachmannsvej 7,3000,Helsingør,North Zealand,Zealand,4.5,2.9,7.33
2000-12-26,2000Q4,1293726,Farm,regular_sale,1940,1365000,0.0,5,275.0,4963.636,A Thorupvej 26,9320,Hjallerup,North jutland,Jutland,4.5,2.9,7.33
2000-12-23,2000Q4,1293791,Villa,family_sale,1935,272000,0.0,3,112.0,2428.5715,Gadekæret 21,7700,Thisted,South jutland,Jutland,4.5,2.9,7.33
2000-12-22,2000Q4,1293799,Townhouse,regular_sale,1974,1291200,0.0,4,112.0,11528.571,Litorinaparken 40,2680,Solrød Strand,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-22,2000Q4,1293813,Summerhouse,family_sale,2012,272000,0.0,4,88.0,3090.9092,Strandgården 24,9300,Sæby,North jutland,Jutland,4.5,2.9,7.33
2000-12-22,2000Q4,1293794,Villa,regular_sale,1946,1208194,0.0,5,170.0,7107.0234,Søndergårdsvej 36,4640,Faxe,Other islands,Zealand,4.5,2.9,7.33
2000-12-21,2000Q4,1293862,Farm,family_sale,1777,1000000,0.0,5,117.0,8547.009,Kongevejen 73,8789,Endelave,East & mid jutland,Jutland,4.5,2.9,7.33
2000-12-21,2000Q4,1293828,Apartment,regular_sale,1893,5700000,0.0,4,87.0,65517.242,"Svendsgade 2, 4. tv",1659,København V,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-21,2000Q4,1293877,Villa,regular_sale,1959,1745000,0.0,7,153.0,11405.229,Våbenstedvej 3,2730,Herlev,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-21,2000Q4,1293910,Apartment,other_sale,1877,2000000,0.0,7,158.0,12658.228,"Strandvejen 242, st. th",2920,Charlottenlund,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-21,2000Q4,1293891,Apartment,regular_sale,1893,5700000,0.0,3,91.0,62637.363,"Svendsgade 2, st. tv",1659,København V,"Capital, Copenhagen",Zealand,4.5,2.9,7.33
2000-12-21,2000Q4,1293857,Villa,other_sale,1869,2872800,0.0,8,312.0,9207.692,Stilundvej 2A,6621,Gesten,South jutland,Jutland,4.5,2.9,7.33
2000-12-21,2000Q4,1293874,Farm,regular_sale,1977,7200000,0.0,7,209.0,34449.76,Ãlsø Stationsvej 1A,8500,Grenaa,East & mid jutland,Jutland,4.5,2.9,7.33
