date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
1992-12-31,1992Q4,1488520,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 77, 1. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-30,1992Q4,1488533,Villa,family_sale,1979,775000,0.0,5,136.0,5698.5293,Rødkløvervænget 8,4621,Gadstrup,Other islands,Zealand,9.5,2.1,10.14
1992-12-30,1992Q4,1488544,Apartment,regular_sale,1900,600000,0.0,4,99.0,6060.606,"Valbyvej 41, 1",4200,Slagelse,Other islands,Zealand,9.5,2.1,10.14
1992-12-30,1992Q4,1488535,Farm,family_sale,1980,1224000,0.0,5,158.0,7746.8354,Fårevej 17,6771,Gredstedbro,South jutland,Jutland,9.5,2.1,10.14
1992-12-29,1992Q4,1488548,Townhouse,regular_sale,1989,562624,0.0,4,84.0,6697.905,Hunsballevej 45,7600,Struer,South jutland,Jutland,9.5,2.1,10.14
1992-12-29,1992Q4,1488575,Apartment,regular_sale,1954,2700000,0.0,2,87.0,31034.482,Lindholmsvej 50. 14,9400,Nørresundby,North jutland,Jutland,9.5,2.1,10.14
1992-12-29,1992Q4,1488584,Apartment,regular_sale,1954,2700000,0.0,2,87.0,31034.482,Lindholmsvej 50. 32,9400,Nørresundby,North jutland,Jutland,9.5,2.1,10.14
1992-12-29,1992Q4,1488607,Villa,regular_sale,1973,795299,0.0,5,160.0,4970.6187,Smedievej 4,3400,Hillerød,North Zealand,Zealand,9.5,2.1,10.14
1992-12-28,1992Q4,1488641,Apartment,regular_sale,1938,837000,0.0,2,58.0,14431.034,"Fredericiagade 49, st. th",8700,Horsens,East & mid jutland,Jutland,9.5,2.1,10.14
1992-12-28,1992Q4,1488616,Apartment,regular_sale,1900,4000000,0.0,3,106.0,37735.848,"Vesterbro 2A, 1. tv",5000,Odense C,Fyn & islands,Fyn & islands,9.5,2.1,10.14
1992-12-28,1992Q4,1488631,Villa,regular_sale,1975,664000,0.0,4,165.0,4024.2424,Heibergs Have 80,4300,Holbæk,Other islands,Zealand,9.5,2.1,10.14
