date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
1993-12-31,1993Q4,1470184,Summerhouse,family_sale,1992,1050000,0.0,4,148.0,7094.5947,Tyttebærvej 3,6853,Vejers Strand,South jutland,Jutland,8.25,1.26,8.16
1993-12-31,1993Q4,1470178,Villa,regular_sale,1976,360781,0.0,4,163.0,2213.3804,Skovhøjen 26,3230,Græsted,North Zealand,Zealand,8.25,1.26,8.16
1993-12-31,1993Q4,1470183,Villa,regular_sale,1976,1050000,0.0,4,131.0,8015.267,Hundslundvej 35,2770,Kastrup,"Capital, Copenhagen",Zealand,8.25,1.26,8.16
1993-12-31,1993Q4,1470182,Villa,family_sale,2017,1764700,0.0,8,280.0,6302.5,Hvenemosevej 25,5874,Hesselager,Fyn & islands,Fyn & islands,8.25,1.26,8.16
1993-12-31,1993Q4,1470181,Villa,family_sale,1948,350000,0.0,5,128.0,2734.375,Jyllandsgade 4,7200,Grindsted,South jutland,Jutland,8.25,1.26,8.16
1993-12-31,1993Q4,1470179,Summerhouse,regular_sale,1960,360000,0.0,5,130.0,2769.2307,Strandparken 4,4500,Nykøbing Sj,Other islands,Zealand,8.25,1.26,8.16
1993-12-31,1993Q4,1470180,Villa,regular_sale,1963,729467,0.0,5,159.0,4587.843,Strandvangen 21,2635,Ishøj,"Capital, Copenhagen",Zealand,8.25,1.26,8.16
1993-12-31,1993Q4,1470177,Villa,other_sale,1964,429837,0.0,4,104.0,4133.048,Botoftevej 1,4600,Køge,Other islands,Zealand,8.25,1.26,8.16
1993-12-31,1993Q4,1470176,Summerhouse,regular_sale,1999,325000,0.0,3,71.0,4577.465,Issehoved 31,8305,Samsø,East & mid jutland,Jutland,8.25,1.26,8.16
1993-12-31,1993Q4,1470175,Villa,regular_sale,1977,360000,0.0,6,144.0,2500.0,Silkehalevej 17,8400,Ebeltoft,East & mid jutland,Jutland,8.25,1.26,8.16
