date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
1992-12-31,1992Q4,1488525,Apartment,regular_sale,1939,1400000,0.0,2,44.0,31818.182,"Gormsgade 75, st. th",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488520,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 77, 1. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488521,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 77, 2. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488522,Apartment,regular_sale,1939,1400000,0.0,2,70.0,20000.0,"Gormsgade 77, 2. th",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488524,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 75, 1. th",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488518,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 77, st. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488526,Apartment,regular_sale,1939,1400000,0.0,2,70.0,20000.0,"Gormsgade 75, st. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488527,Villa,regular_sale,1920,957500,0.0,9,275.0,3481.818,Eskildstrupvej 64,4100,Ringsted,Other islands,Zealand,9.5,2.1,10.14
1992-12-31,1992Q4,1488528,Apartment,regular_sale,1939,1400000,0.0,3,78.0,17948.719,"Gormsgade 75, 2. th",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488529,Apartment,regular_sale,1939,1400000,0.0,2,70.0,20000.0,"Gormsgade 75, 1. tv",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
1992-12-31,1992Q4,1488519,Apartment,regular_sale,1939,1400000,0.0,2,70.0,20000.0,"Gormsgade 77, 1. th",6700,Esbjerg,South jutland,Jutland,9.5,2.1,10.14
